"x","y"
-5,-97.8
-4.99,-97.64
-4.98,-94.58
-4.97,-98.72
-4.96,-97.46
-4.95,-95.6
-4.94,-96.04
-4.93,-98.28
-4.92,-96.92
-4.91,-97.66
-4.9,-94.7
-4.89,-93.24
-4.88,-94.48
-4.87,-93.62
-4.86,-93.56
-4.85,-92
-4.84,-94.94
-4.83,-93.78
-4.82,-91.92
-4.81,-91.66
-4.8,-90.6
-4.79,-90.54
-4.78,-93.58
-4.77,-90.42
-4.76,-92.86
-4.75,-89.8
-4.74,-89.04
-4.73,-87.68
-4.72,-93.42
-4.71,-90.76
-4.7,-85
-4.69,-87.54
-4.68,-87.48
-4.67,-88.62
-4.66,-88.26
-4.65,-85.6
-4.64,-85.64
-4.63,-84.58
-4.62,-83.52
-4.61,-85.76
-4.6,-84.2
-4.59,-86.74
-4.58,-81.08
-4.57,-84.32
-4.56,-82.76
-4.55,-81.3
-4.54,-79.74
-4.53,-84.48
-4.52,-84.52
-4.51,-81.86
-4.5,-84.3
-4.49,-80.04
-4.48,-77.58
-4.47,-80.92
-4.46,-80.06
-4.45,-80.1
-4.44,-77.24
-4.43,-79.98
-4.42,-82.42
-4.41,-78.16
-4.4,-75.7
-4.39,-80.24
-4.38,-78.98
-4.37,-72.82
-4.36,-80.46
-4.35,-75.2
-4.34,-78.44
-4.33,-73.68
-4.32,-75.92
-4.31,-76.06
-4.3,-75.2
-4.29,-73.44
-4.28,-70.98
-4.27,-77.72
-4.26,-73.16
-4.25,-71.8
-4.24,-70.54
-4.23,-71.98
-4.22,-70.82
-4.21,-70.76
-4.2,-72.6
-4.19,-69.74
-4.18,-72.68
-4.17,-71.22
-4.16,-68.66
-4.15,-70.4
-4.14,-67.84
-4.13,-70.78
-4.12,-70.82
-4.11,-68.96
-4.1,-66.4
-4.09,-67.54
-4.08,-67.08
-4.07,-66.82
-4.06,-67.26
-4.05,-65.5
-4.04,-64.24
-4.03,-65.78
-4.02,-66.12
-4.01,-66.06
-4,-64.5
-3.99,-65.74
-3.98,-65.68
-3.97,-62.22
-3.96,-63.86
-3.95,-64.2
-3.94,-65.24
-3.93,-60.98
-3.92,-61.62
-3.91,-59.76
-3.9,-63.5
-3.89,-57.94
-3.88,-60.98
-3.87,-59.22
-3.86,-58.56
-3.85,-59.6
-3.84,-60.94
-3.83,-62.58
-3.82,-53.62
-3.81,-60.26
-3.8,-60.8
-3.79,-58.94
-3.78,-57.38
-3.77,-57.92
-3.76,-59.56
-3.75,-55
-3.74,-55.24
-3.73,-56.18
-3.72,-57.72
-3.71,-55.66
-3.7,-54.5
-3.69,-56.64
-3.68,-52.88
-3.67,-54.82
-3.66,-54.46
-3.65,-55.1
-3.64,-53.24
-3.63,-52.28
-3.62,-55.62
-3.61,-50.56
